            angle	  Ex=0.000(0d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
            39.40	         0.150520	         0.674360	         0.793560	         0.980330	         0.835710	         1.924200	         1.367700	         1.243800	         1.809400	         1.643600	         1.823100	         0.950690	         2.083000	         0.988260	
            39.50	         0.149280	         0.663790	         0.785810	         0.967280	         0.826720	         1.902600	         1.353800	         1.229400	         1.790400	         1.624200	         1.805400	         0.939190	         2.064100	         0.976080	
            39.60	         0.148060	         0.653180	         0.778080	         0.954140	         0.817780	         1.880700	         1.339800	         1.215200	         1.771500	         1.604900	         1.787500	         0.927760	         2.045100	         0.963980	
            39.70	         0.146830	         0.642540	         0.770390	         0.940920	         0.808880	         1.858700	         1.326000	         1.201000	         1.752700	         1.585800	         1.769400	         0.916410	         2.025900	         0.951960	
            39.80	         0.145610	         0.631860	         0.762730	         0.927630	         0.800030	         1.836500	         1.312200	         1.186900	         1.733900	         1.566800	         1.751200	         0.905130	         2.006400	         0.940030	
            39.90	         0.144400	         0.621160	         0.755110	         0.914260	         0.791220	         1.814100	         1.298500	         1.172900	         1.715300	         1.547900	         1.732800	         0.893930	         1.986800	         0.928180	
            40.00	         0.143180	         0.610450	         0.747520	         0.900840	         0.782460	         1.791600	         1.284900	         1.158900	         1.696800	         1.529100	         1.714200	         0.882800	         1.967100	         0.916410	
            40.10	         0.141980	         0.599720	         0.739970	         0.887360	         0.773750	         1.768900	         1.271300	         1.145100	         1.678400	         1.510400	         1.695600	         0.871750	         1.947100	         0.904730	
            40.20	         0.140770	         0.588980	         0.732460	         0.873830	         0.765100	         1.746200	         1.257900	         1.131400	         1.660100	         1.491900	         1.676800	         0.860780	         1.927100	         0.893140	
            40.30	         0.139570	         0.578240	         0.724980	         0.860260	         0.756490	         1.723300	         1.244500	         1.117700	         1.641900	         1.473500	         1.657800	         0.849890	         1.906800	         0.881640	
            40.40	         0.138380	         0.567500	         0.717540	         0.846660	         0.747930	         1.700200	         1.231100	         1.104100	         1.623800	         1.455200	         1.638800	         0.839080	         1.886500	         0.870220	
